zone_type,rainfall_mm,week_type,population_density,month,special_event,previous_wet_tons,previous_dry_tons,wet_waste_tons,dry_waste_tons
market,79.9,normal,medium,4,no,9.65,2.55,9.46,2.42
office,71.4,festival,medium,11,no,5.36,3.64,5.67,3.26
tourist_area,39.4,normal,low,6,no,3.23,2.35,3.34,3.0
residential,6.9,normal,medium,3,no,5.51,1.19,4.77,1.3
office,91.4,normal,high,7,no,2.89,3.69,4.41,4.54
residential,55.0,normal,medium,6,no,5.86,0.68,6.04,1.21
office,30.7,festival,medium,3,yes,4.83,5.03,4.59,5.77
office,86.9,normal,low,4,no,2.58,1.48,2.26,1.01
market,3.6,normal,high,10,yes,13.39,4.43,13.12,4.9
office,18.0,normal,medium,5,no,2.16,2.53,3.84,3.27
residential,61.7,holiday,medium,9,no,6.26,2.61,6.39,3.18
market,168.9,normal,high,6,no,13.08,2.09,13.46,1.9
office,100.2,holiday,low,4,yes,3.13,4.31,3.68,3.46
market,19.5,normal,medium,11,yes,9.67,3.35,9.11,3.87
market,3.3,festival,high,11,no,15.0,5.59,16.78,5.6
market,169.4,normal,medium,7,no,10.18,2.11,9.94,2.36
office,35.8,normal,medium,2,no,4.5,3.72,4.89,3.47
residential,13.1,normal,medium,4,no,5.21,2.27,5.05,3.01
residential,65.5,normal,high,5,no,7.22,3.12,7.98,4.2
office,111.7,festival,low,4,no,4.98,3.03,3.0,3.01
office,24.5,holiday,high,4,yes,5.01,6.37,4.73,6.41
residential,25.0,normal,high,11,yes,7.47,4.23,7.51,4.26
residential,81.0,normal,low,9,no,3.38,2.3,2.46,2.54
residential,26.3,normal,high,11,no,4.86,3.79,6.0,4.02
residential,17.4,holiday,medium,2,yes,8.41,4.31,7.79,3.49
market,94.2,normal,medium,6,no,11.36,2.98,10.23,2.51
office,24.9,normal,high,8,yes,7.72,4.98,6.84,4.44
school,65.0,normal,high,8,no,3.52,3.72,4.18,5.24
school,6.6,normal,low,11,yes,3.34,3.09,1.63,3.64
market,109.8,normal,medium,7,no,10.86,2.29,9.88,2.09
office,27.6,normal,medium,10,no,3.79,4.1,3.31,3.51
market,28.1,normal,medium,11,no,8.11,4.92,8.31,4.51
tourist_area,14.7,festival,medium,4,yes,6.69,7.77,7.45,8.05
school,89.8,normal,low,7,no,0.77,1.63,1.9,2.29
residential,53.9,normal,medium,10,yes,4.59,3.0,5.48,2.8
school,71.2,normal,medium,6,no,3.29,5.0,3.56,4.43
residential,132.1,holiday,low,11,no,7.09,1.91,5.28,2.03
school,35.7,normal,high,6,no,2.25,4.96,3.0,4.34
residential,31.5,normal,high,2,no,7.43,2.77,6.72,2.58
residential,50.9,normal,medium,8,no,6.16,2.7,6.9,2.63
office,116.5,normal,medium,8,no,2.61,3.25,3.09,3.18
residential,57.2,normal,medium,11,no,4.18,1.85,4.14,2.45
office,242.9,holiday,medium,7,no,4.63,2.76,5.1,3.26
residential,177.7,festival,low,11,no,5.91,2.93,6.32,3.31
school,80.0,normal,high,9,no,3.53,4.52,3.11,4.22
school,103.4,normal,low,8,no,2.82,2.77,2.37,2.86
market,58.6,festival,low,9,no,10.65,2.7,10.53,2.93
residential,63.6,normal,low,9,no,3.63,1.2,4.56,1.23
residential,30.2,holiday,low,6,no,4.46,1.72,4.88,1.79
residential,58.2,normal,low,2,yes,4.33,2.15,4.65,2.01
residential,72.1,festival,high,12,yes,11.03,4.99,11.1,6.28
school,132.6,holiday,medium,7,yes,5.27,4.78,5.09,4.71
tourist_area,9.9,festival,low,3,no,4.74,4.14,5.62,4.48
office,66.0,normal,low,7,no,1.42,1.97,1.72,1.88
office,130.0,normal,high,9,no,4.44,4.22,4.54,3.89
office,11.2,festival,medium,10,no,4.79,4.42,3.96,3.88
school,72.1,normal,medium,10,no,1.21,2.96,1.31,3.87
residential,33.4,normal,high,2,no,7.2,2.9,6.57,3.41
tourist_area,114.1,holiday,medium,6,no,6.19,5.28,5.64,4.94
school,96.6,holiday,medium,6,no,3.01,3.92,4.01,3.5
school,66.8,festival,low,9,no,3.79,3.92,3.05,3.7
residential,231.7,normal,medium,9,yes,7.36,3.16,7.59,2.66
market,29.7,holiday,medium,5,no,10.21,4.35,10.76,3.7
market,153.8,holiday,medium,5,no,11.77,3.63,11.75,2.77
office,109.3,normal,medium,9,no,4.82,2.39,5.12,2.8
market,125.8,normal,medium,8,no,9.67,2.38,8.49,2.53
market,83.1,normal,low,7,no,5.76,1.46,6.41,2.07
tourist_area,129.8,normal,low,8,no,4.22,3.63,3.49,3.23
residential,173.4,festival,medium,6,no,9.14,4.22,8.04,3.37
market,45.2,normal,high,3,yes,14.45,5.06,13.16,4.14
residential,138.6,holiday,medium,7,no,7.97,3.05,7.73,3.21
office,80.4,festival,medium,8,no,6.25,3.56,5.5,4.08
tourist_area,300.0,normal,medium,8,no,4.23,4.31,5.31,4.11
residential,160.1,holiday,low,1,no,2.7,0.83,3.22,0.75
office,48.2,normal,low,7,no,3.17,2.3,2.78,1.64
residential,82.7,holiday,medium,3,no,7.34,2.2,6.54,2.19
tourist_area,10.3,normal,low,2,no,3.43,3.5,3.22,3.96
office,35.1,festival,low,2,yes,3.82,4.32,3.54,4.27
office,103.7,normal,high,8,no,5.7,5.23,4.82,3.91
residential,276.6,normal,low,9,no,5.66,2.47,5.73,2.18
tourist_area,3.2,holiday,medium,3,no,4.21,5.66,4.21,5.27
office,20.7,normal,medium,3,no,3.62,3.39,3.09,3.16
residential,86.1,normal,medium,6,no,5.08,3.24,5.66,3.18
office,11.8,normal,medium,11,yes,4.15,4.76,4.1,5.03
residential,31.1,holiday,medium,10,no,6.15,2.58,5.62,3.19
office,4.2,normal,medium,1,no,1.3,3.49,2.34,3.56
residential,143.3,normal,high,6,no,8.52,2.86,8.66,3.18
office,118.3,normal,high,12,no,3.71,4.93,3.92,4.69
market,49.0,normal,low,3,no,6.08,1.3,5.84,1.51
residential,59.0,normal,low,11,no,3.95,0.63,3.65,1.03
residential,13.4,normal,high,4,no,7.23,3.78,7.06,3.47
residential,79.9,normal,medium,9,no,6.62,3.36,5.44,2.27
market,21.8,normal,medium,3,no,8.2,3.4,8.15,3.08
residential,1.4,normal,medium,1,no,5.92,2.09,5.93,2.98
school,87.2,festival,low,3,no,1.88,2.98,2.78,2.7
residential,42.7,normal,medium,7,no,5.51,2.6,5.46,1.77
residential,256.7,normal,medium,7,no,5.56,1.75,6.5,1.26
office,2.6,normal,low,11,yes,2.61,3.21,3.77,4.41
residential,51.9,normal,medium,5,no,6.37,2.62,5.86,2.66
tourist_area,4.9,holiday,high,1,yes,7.93,10.0,8.34,9.68
office,1.2,normal,medium,11,no,1.16,3.48,0.54,3.64
school,109.4,normal,low,8,no,4.21,2.8,2.66,2.69
school,9.9,normal,medium,10,yes,2.72,4.31,2.89,4.27
tourist_area,163.2,normal,high,8,no,7.63,5.33,6.89,5.08
residential,24.3,normal,high,10,no,7.43,3.12,8.45,3.09
residential,3.5,normal,medium,12,no,2.6,1.29,3.82,1.68
residential,80.7,normal,low,10,no,5.68,1.19,5.55,1.24
office,18.1,festival,high,10,no,4.87,6.94,5.48,6.62
residential,39.8,normal,medium,2,no,4.27,2.48,3.78,2.04
school,20.9,normal,low,10,no,1.69,2.9,1.47,4.02
tourist_area,27.8,festival,medium,3,yes,9.16,7.02,8.8,7.66
office,10.8,holiday,medium,4,yes,4.53,5.22,4.12,4.39
market,6.7,normal,medium,1,no,7.61,2.59,8.1,1.72
residential,23.5,holiday,low,4,no,3.94,2.39,4.69,1.86
office,17.4,holiday,medium,5,no,4.4,2.6,4.23,3.39
school,14.8,normal,high,3,no,2.76,4.73,1.85,5.1
residential,33.5,normal,high,11,no,5.93,3.01,7.31,3.16
residential,35.2,normal,high,10,no,5.6,2.05,6.01,2.3
tourist_area,1.4,festival,high,2,no,8.47,8.2,10.1,7.98
school,95.3,normal,low,6,no,1.96,2.82,2.45,2.44
office,117.8,normal,medium,8,no,2.91,2.25,3.04,2.09
office,16.0,holiday,medium,7,no,4.81,1.42,4.86,2.13
school,8.1,normal,high,11,no,2.42,6.4,1.59,6.64
market,1.6,normal,medium,1,no,7.37,1.67,8.17,1.99
market,167.5,normal,high,4,no,13.1,3.69,14.43,3.86
residential,40.0,normal,medium,3,yes,6.1,2.97,4.67,3.3
market,29.4,holiday,high,6,no,15.0,5.4,15.21,4.24
office,71.3,normal,low,9,yes,2.88,3.06,2.83,2.51
school,97.7,holiday,low,9,no,1.63,3.03,2.5,3.43
tourist_area,51.4,normal,high,7,no,7.34,5.17,8.57,4.86
market,46.4,normal,low,12,no,5.98,3.14,6.27,2.77
school,223.0,festival,high,9,no,7.53,4.38,8.2,5.88
school,112.3,normal,low,8,no,1.66,2.12,1.99,2.65
school,6.2,normal,medium,5,no,3.02,3.58,3.18,3.66
office,186.1,normal,medium,9,no,3.28,2.77,3.53,3.24
residential,270.3,holiday,medium,7,yes,8.62,3.14,9.49,2.9
market,26.0,normal,medium,5,no,8.85,3.07,8.82,3.38
residential,113.8,normal,medium,8,no,5.39,2.05,6.09,1.14
market,77.2,normal,low,7,no,8.67,1.91,7.53,1.77
market,85.4,normal,low,9,no,7.9,1.64,7.39,0.8
school,39.8,holiday,medium,10,no,2.1,4.48,2.11,4.57
tourist_area,78.8,normal,medium,1,no,3.83,4.95,4.04,4.9
school,123.1,normal,high,9,no,4.43,4.45,3.97,5.11
office,153.4,normal,medium,7,no,4.23,2.7,4.69,3.06
market,5.6,normal,medium,1,no,8.04,3.15,7.43,2.91
school,7.1,festival,medium,1,no,4.45,5.35,3.06,5.21
residential,22.8,normal,low,5,no,5.1,1.17,3.91,1.53
residential,15.4,festival,medium,8,no,9.41,2.71,9.82,2.5
market,97.1,normal,high,9,no,11.26,3.51,11.26,3.47
market,10.3,normal,high,12,no,12.64,4.27,12.2,4.95
residential,185.9,festival,medium,6,yes,10.7,3.67,10.66,3.1
residential,49.5,normal,medium,12,no,4.14,3.02,4.9,2.73
residential,18.7,holiday,high,10,no,8.1,3.63,8.04,3.53
tourist_area,6.0,festival,medium,12,no,7.56,7.8,8.85,9.07
residential,121.7,normal,low,8,no,3.94,2.4,5.28,2.25
market,300.0,normal,low,6,no,8.43,1.5,8.04,2.07
residential,29.2,holiday,medium,11,no,7.45,3.58,6.62,3.7
school,65.1,normal,high,6,no,2.87,4.19,5.18,4.69
residential,0.5,normal,medium,4,no,5.17,3.35,4.55,3.12
residential,11.6,normal,low,11,no,3.02,1.98,3.28,2.1
market,6.5,normal,low,5,yes,8.23,1.8,8.27,1.4
residential,50.3,holiday,high,2,no,6.2,4.33,6.67,4.22
residential,55.9,normal,high,3,yes,8.2,4.07,6.95,3.9
residential,9.0,normal,medium,3,no,4.93,2.02,5.16,2.45
residential,11.8,normal,medium,12,no,4.3,2.45,3.9,2.6
residential,8.1,normal,low,11,no,2.38,2.69,3.79,2.67
residential,71.7,normal,high,5,no,9.06,3.14,7.59,3.46
office,21.0,holiday,high,5,no,4.35,5.1,4.8,3.64
school,97.4,normal,medium,6,yes,1.41,3.94,0.91,3.83
market,16.1,holiday,high,5,no,14.16,4.43,13.29,3.45
residential,29.9,festival,low,12,no,6.08,3.04,5.37,2.94
tourist_area,72.0,normal,low,6,no,3.56,2.4,3.3,2.53
market,74.0,normal,low,8,no,7.5,0.78,8.37,1.84
residential,30.2,normal,low,2,no,2.5,2.19,2.84,2.09
school,26.8,normal,medium,4,no,2.37,3.88,3.25,3.61
residential,57.2,festival,medium,6,no,8.42,2.62,8.44,3.12
residential,4.9,festival,medium,12,no,6.38,3.85,7.14,3.65
market,13.8,normal,medium,5,no,9.3,2.19,8.9,2.22
office,16.1,normal,medium,1,no,1.72,3.57,1.66,3.78
market,116.3,festival,low,9,no,9.72,2.72,9.14,3.3
office,73.8,festival,medium,3,no,3.44,3.7,4.07,4.37
tourist_area,1.1,normal,medium,2,no,3.86,6.0,4.09,5.85
residential,57.2,normal,medium,9,no,5.7,1.04,6.08,2.82
residential,28.3,normal,high,7,no,7.96,4.0,8.11,3.1
market,20.9,festival,high,5,yes,15.0,5.99,18.0,5.49
market,16.8,normal,high,12,no,11.53,3.83,11.4,4.18
market,141.6,normal,medium,6,no,9.05,2.28,10.08,3.06
tourist_area,8.3,normal,low,12,no,2.83,4.1,2.79,3.64
office,27.1,normal,medium,11,no,2.71,4.08,2.29,4.72
school,64.6,normal,low,4,no,1.95,1.64,2.4,1.42
residential,72.5,festival,medium,1,no,7.29,3.77,7.23,3.51
office,95.7,normal,low,4,no,1.9,2.01,2.61,2.19
tourist_area,124.7,normal,high,9,no,5.96,4.78,6.5,4.79
office,70.9,normal,low,1,no,4.01,1.77,2.77,1.82
residential,8.0,normal,high,10,yes,8.78,4.34,9.17,4.52
school,6.6,normal,high,3,no,3.65,3.66,2.95,4.95
residential,0.2,normal,medium,5,no,5.27,2.71,5.74,1.57
residential,135.3,normal,high,7,no,10.75,2.94,10.52,2.87
residential,275.5,normal,medium,9,no,5.85,2.04,5.6,1.99
school,49.9,normal,high,6,no,3.19,4.02,4.18,4.28
school,30.4,normal,medium,3,no,1.57,5.05,2.14,4.38
residential,119.6,festival,high,7,no,14.49,2.67,14.3,2.43
market,78.8,festival,medium,4,no,14.29,3.39,13.72,4.17
market,31.2,normal,high,3,no,11.24,3.69,11.27,4.25
market,300.0,normal,medium,7,no,11.36,2.61,10.3,2.4
residential,12.7,festival,medium,11,no,8.26,3.88,9.09,3.49
market,12.9,normal,high,11,no,10.62,3.01,9.77,3.27
office,82.1,holiday,high,7,no,4.69,4.65,4.95,3.33
residential,14.5,festival,medium,4,no,10.32,3.23,8.9,3.32
residential,0.0,normal,low,12,no,3.27,3.12,3.79,2.97
market,150.6,normal,medium,7,yes,11.23,3.08,12.82,3.07
tourist_area,41.8,festival,high,11,no,8.89,8.98,9.54,8.94
school,41.2,normal,high,2,no,2.76,5.45,4.66,5.4
school,12.7,normal,high,1,no,2.31,6.21,1.81,5.48
market,22.2,normal,low,12,no,5.31,3.41,4.84,2.73
school,13.4,normal,medium,2,no,1.67,4.49,1.37,4.22
residential,0.5,normal,medium,4,no,5.26,2.04,5.33,2.5
school,99.0,holiday,high,8,no,3.73,3.93,3.53,5.03
tourist_area,4.0,festival,low,3,no,2.71,4.27,3.16,4.25
school,2.5,normal,high,10,no,2.65,4.53,3.34,4.36
office,179.9,normal,medium,6,no,1.84,2.91,1.81,2.9
office,64.0,normal,low,6,no,4.23,2.71,2.91,3.34
residential,276.4,normal,medium,9,no,5.51,2.5,5.39,1.86
tourist_area,108.6,normal,medium,9,yes,6.25,5.99,5.93,6.11
residential,122.3,festival,medium,4,no,8.41,3.09,9.01,3.62
market,36.6,holiday,low,9,yes,10.28,2.18,9.57,2.24
residential,106.4,normal,low,6,no,5.06,1.13,4.38,0.97
residential,12.9,normal,high,2,no,6.5,3.63,6.69,3.74
market,55.6,normal,low,10,no,6.2,1.95,6.84,2.16
residential,13.4,normal,low,11,no,5.25,1.99,5.51,2.25
market,55.5,normal,medium,6,no,9.81,1.83,10.14,3.1
school,58.5,normal,medium,2,no,2.07,4.06,2.23,4.1
residential,90.6,festival,high,8,no,11.11,5.4,11.94,4.03
residential,0.5,normal,medium,4,no,4.91,2.93,4.89,2.71
school,14.8,normal,high,5,no,4.73,4.21,4.16,4.56
residential,148.4,holiday,medium,8,no,6.08,1.31,5.45,2.35
office,8.8,normal,low,11,no,1.91,3.18,2.58,2.85
school,98.5,normal,low,8,no,2.36,2.72,2.43,2.36
office,1.8,normal,medium,12,no,2.21,3.97,2.93,3.38
school,26.6,normal,medium,12,no,2.33,4.89,0.67,4.98
market,164.4,holiday,high,6,no,15.0,3.85,15.58,5.28
school,16.0,normal,medium,4,yes,3.02,4.71,2.54,4.56
residential,16.4,holiday,medium,1,no,6.48,3.69,7.01,3.58
residential,2.8,normal,low,12,no,2.77,1.4,3.46,1.43
office,75.5,normal,low,7,no,1.51,2.2,2.13,1.54
market,63.5,holiday,medium,8,no,13.14,3.25,12.4,3.3
office,66.5,normal,medium,9,no,2.01,2.83,2.76,2.98
office,22.6,normal,medium,2,no,4.62,4.73,3.3,3.12
office,89.2,normal,low,1,no,1.69,3.26,1.8,3.63
tourist_area,2.3,normal,medium,4,yes,6.08,6.63,5.53,6.44
market,27.5,normal,high,5,no,12.63,3.77,14.02,3.7
residential,22.4,normal,medium,10,no,5.63,2.51,6.31,2.31
school,21.8,normal,medium,12,no,0.94,4.0,2.16,4.43
market,61.9,normal,high,1,no,11.97,3.74,10.58,4.06
school,6.9,festival,medium,5,no,5.09,3.82,5.28,4.43
office,77.0,normal,medium,6,no,3.6,3.49,3.68,3.74
school,33.5,holiday,low,3,no,0.72,3.13,2.03,3.71
market,12.7,normal,medium,12,no,8.64,4.24,8.62,4.78
residential,77.3,normal,low,7,no,6.15,3.26,5.49,2.07
market,57.1,holiday,high,6,yes,15.0,5.28,16.73,4.76
residential,11.1,normal,high,4,no,5.77,3.41,5.22,3.42
tourist_area,28.8,holiday,high,3,no,7.12,6.55,6.6,6.51
residential,5.7,normal,high,5,no,7.86,3.44,7.91,2.96
residential,16.0,normal,medium,3,yes,4.97,2.91,5.92,3.15
residential,19.8,normal,medium,10,no,5.4,2.74,4.96,3.03
school,78.6,normal,high,9,no,2.57,5.78,3.01,5.84
school,300.0,holiday,high,9,no,5.82,4.34,4.42,4.48
residential,54.5,normal,medium,6,yes,4.89,2.41,6.56,2.72
residential,90.5,festival,high,11,yes,12.06,5.62,12.96,5.61
market,101.5,festival,medium,6,no,14.13,3.76,15.09,3.56
residential,47.6,normal,medium,12,no,4.13,2.89,4.65,2.49
school,16.9,normal,medium,4,no,4.34,3.68,4.59,3.3
school,18.1,festival,low,4,no,3.13,4.12,2.62,4.11
market,63.4,festival,low,2,no,8.44,2.13,8.13,2.02
residential,67.9,normal,low,10,no,4.74,1.45,5.04,0.76
tourist_area,8.2,normal,medium,4,no,5.22,4.24,5.62,4.45
market,31.7,normal,medium,8,no,10.15,1.81,9.32,2.81
school,20.6,normal,medium,10,no,4.67,4.15,3.51,2.81
residential,69.2,normal,high,2,no,7.79,3.04,8.16,2.99
market,75.4,holiday,medium,9,yes,13.57,4.74,13.69,4.6
residential,31.7,normal,medium,1,no,3.13,2.1,4.21,1.5
market,36.9,normal,low,2,yes,8.31,2.86,7.03,2.64
tourist_area,45.2,normal,low,2,yes,4.05,5.08,4.27,4.21
market,24.9,normal,high,11,no,12.86,3.98,11.48,3.61
residential,89.5,normal,medium,6,no,4.55,2.59,3.9,2.2
residential,300.0,normal,high,7,yes,9.94,3.38,10.46,2.69
market,28.4,normal,low,3,no,4.72,0.24,6.13,0.5
residential,39.1,normal,medium,11,no,4.01,3.61,4.27,3.15
residential,78.7,normal,medium,9,no,7.07,3.08,6.12,3.7
office,33.3,festival,low,5,no,2.67,3.51,4.18,3.57
market,8.9,normal,low,5,no,6.49,0.43,6.59,1.56
residential,8.4,normal,low,11,no,3.28,1.77,3.43,2.18
tourist_area,37.6,normal,medium,12,no,4.76,5.12,5.6,5.05
residential,22.1,festival,low,4,no,5.93,1.36,5.8,1.85
tourist_area,120.8,normal,high,9,no,7.38,6.71,6.74,6.75
residential,83.4,normal,medium,8,no,5.87,2.52,6.36,2.7
tourist_area,27.4,holiday,low,12,no,4.27,4.35,3.69,4.54
school,17.6,normal,low,4,no,2.41,3.38,2.15,3.28
office,27.3,normal,medium,4,no,3.58,3.18,2.63,4.34
tourist_area,10.3,normal,low,2,yes,3.49,1.92,3.64,3.39
residential,135.6,normal,high,9,no,7.67,2.64,7.66,2.58
tourist_area,49.2,normal,high,3,no,6.48,5.09,6.81,5.58
market,9.0,holiday,low,4,no,8.38,2.34,8.76,1.84
market,57.5,normal,medium,7,no,9.56,1.95,10.14,3.25
residential,32.5,holiday,low,10,no,5.88,1.83,5.62,2.62
market,125.6,normal,medium,8,no,8.9,1.01,9.34,1.71
residential,96.3,holiday,medium,8,no,7.27,2.46,7.56,3.42
school,34.4,normal,medium,4,no,4.27,4.62,2.95,4.51
market,73.9,normal,low,7,no,8.7,3.03,6.88,2.25
office,15.1,normal,medium,10,no,3.23,4.13,3.86,4.24
office,8.8,festival,medium,1,no,2.86,4.15,3.84,4.6
market,66.5,normal,low,6,no,7.64,2.75,7.49,2.7
residential,135.3,normal,medium,6,no,5.84,2.9,6.53,1.92
residential,77.7,normal,medium,6,no,7.32,1.86,6.3,1.62
residential,83.3,normal,high,12,no,5.67,2.2,5.6,3.51
residential,52.6,normal,low,2,no,3.1,2.56,2.72,2.96
residential,181.0,normal,high,8,no,8.6,2.0,8.76,2.92
residential,71.1,normal,medium,5,no,5.03,2.85,4.31,3.57
tourist_area,15.8,normal,low,5,no,3.46,3.28,3.11,3.5
school,56.3,normal,medium,2,no,1.53,4.71,2.01,4.61
residential,5.2,normal,medium,4,no,5.8,2.57,4.86,2.07
school,0.7,holiday,high,12,no,1.08,6.68,1.79,6.51
residential,165.0,normal,low,9,no,4.21,2.91,2.89,1.38
market,61.6,normal,medium,9,no,8.4,2.78,9.14,2.6
school,300.0,normal,medium,6,no,2.35,3.75,2.24,2.53
market,33.7,festival,high,11,yes,15.0,6.08,16.81,6.8
market,147.9,festival,medium,9,yes,15.0,3.28,15.2,3.83
tourist_area,8.5,holiday,high,4,no,6.47,7.09,6.7,6.17
tourist_area,33.6,normal,high,11,no,5.21,7.69,4.63,7.26
school,1.3,normal,medium,1,no,1.13,4.69,2.76,5.35
school,54.6,normal,high,2,no,2.71,5.68,1.43,5.4
school,5.6,normal,high,1,no,2.95,4.85,2.74,4.67
residential,108.9,normal,medium,8,no,7.05,1.49,6.66,0.95
market,76.0,holiday,medium,9,no,10.66,3.27,10.43,2.39
residential,2.1,holiday,medium,10,no,6.96,1.71,6.75,2.47
market,19.7,holiday,medium,12,no,9.64,3.52,9.2,3.51
market,91.3,normal,low,6,no,9.23,1.77,9.46,1.62
residential,39.2,normal,low,2,no,4.68,2.52,3.5,1.98
tourist_area,53.8,normal,medium,6,no,5.43,3.29,3.95,3.68
tourist_area,88.3,normal,medium,9,no,5.14,4.28,4.29,3.8
office,25.1,holiday,low,12,no,2.75,2.4,2.91,2.91
market,10.1,normal,high,3,no,12.12,4.42,11.57,3.5
office,100.1,normal,high,9,no,4.56,3.83,4.98,3.57
residential,50.7,normal,low,2,no,4.53,2.37,4.39,2.55
office,5.9,normal,medium,11,yes,3.97,4.63,3.42,4.79
residential,2.6,holiday,medium,5,yes,7.81,4.06,7.51,3.99
office,11.9,normal,high,11,no,4.7,5.7,4.21,6.3
residential,16.6,holiday,low,2,no,3.86,2.06,5.07,2.02
office,119.1,normal,low,7,no,1.57,1.29,2.45,1.61
tourist_area,14.0,normal,high,11,no,6.85,6.04,7.68,6.34
residential,46.8,holiday,high,10,yes,9.44,5.08,10.12,4.61
market,45.5,normal,high,9,no,11.3,4.04,11.76,3.35
tourist_area,68.5,festival,high,7,yes,13.83,7.88,13.03,8.21
market,14.5,normal,low,12,no,6.43,1.58,6.41,2.11
office,31.3,normal,medium,5,no,4.39,2.93,3.93,3.23
school,101.7,normal,low,4,no,1.62,2.42,1.72,2.51
market,21.4,festival,low,12,no,11.02,3.0,10.26,3.47
residential,130.0,normal,high,4,no,6.3,2.58,5.48,2.75
residential,10.8,holiday,low,10,no,4.05,0.41,5.03,0.94
office,40.6,normal,medium,8,no,1.97,4.28,2.55,3.28
market,5.4,normal,high,10,no,11.14,3.11,10.52,2.76
market,15.1,normal,low,10,no,6.57,2.75,6.84,3.11
market,11.4,normal,high,10,no,11.0,3.91,10.78,3.58
school,3.1,normal,high,10,no,3.84,5.57,4.02,4.98
office,17.0,festival,medium,10,no,3.96,4.16,4.81,4.13
tourist_area,12.4,normal,low,1,no,2.18,4.19,3.17,3.82
market,3.9,normal,medium,5,yes,11.91,1.88,11.47,3.28
office,10.5,normal,medium,2,no,4.27,2.73,3.4,2.95
office,65.3,normal,medium,11,no,2.82,3.77,2.54,4.92
school,76.2,normal,medium,9,no,4.41,2.39,3.31,2.95
tourist_area,151.9,normal,high,7,no,8.71,4.93,8.2,5.97
residential,28.4,normal,low,10,no,3.63,2.74,3.59,2.69
residential,88.4,normal,high,8,yes,9.16,3.78,8.75,3.74
office,52.9,normal,low,6,yes,2.07,2.12,1.79,3.03
market,85.6,normal,medium,9,no,8.38,2.03,8.72,2.82
office,124.5,normal,high,6,no,3.98,3.66,4.05,4.01
tourist_area,80.1,normal,medium,7,no,6.17,4.51,5.19,5.37
residential,41.5,normal,low,7,no,5.4,0.59,5.53,0.76
tourist_area,45.6,festival,medium,9,no,7.91,5.58,8.86,5.26
market,63.5,holiday,high,11,no,12.77,4.43,13.84,4.26
market,102.5,holiday,medium,8,no,13.13,3.6,12.27,4.06
school,29.4,normal,medium,1,no,2.27,4.89,2.26,5.21
tourist_area,20.2,holiday,medium,4,no,5.32,4.4,6.4,4.62
residential,166.8,holiday,high,7,yes,11.08,3.02,10.66,2.23
market,23.8,holiday,high,11,no,15.0,6.0,15.01,5.37
school,47.4,normal,medium,8,no,2.38,3.74,1.72,3.14
office,263.9,normal,high,7,no,5.29,3.36,6.23,3.18
school,38.2,holiday,medium,12,no,2.05,4.46,2.12,4.32
residential,3.5,normal,medium,3,no,4.15,2.73,5.73,1.88
residential,5.9,normal,low,4,no,3.17,1.79,4.52,2.58
market,46.4,normal,medium,12,no,9.07,3.1,8.65,2.92
office,185.7,normal,medium,7,yes,5.39,4.4,4.56,4.57
residential,111.1,normal,low,8,no,5.62,0.97,5.26,1.09
residential,79.2,normal,medium,7,no,4.34,1.41,4.91,1.19
tourist_area,129.8,normal,high,6,no,6.87,5.36,6.77,5.62
residential,88.8,normal,medium,9,no,4.92,2.47,4.17,2.18
tourist_area,93.8,normal,medium,9,no,5.22,4.46,4.82,4.35
school,3.4,normal,high,11,no,5.07,4.47,3.73,5.05
office,300.0,normal,low,7,yes,3.95,2.5,4.05,2.02
residential,147.2,normal,medium,8,no,6.25,2.03,6.73,1.31
residential,106.8,holiday,high,6,no,11.29,2.98,11.05,3.03
office,11.4,normal,medium,1,no,4.37,3.57,3.93,4.04
office,5.3,normal,medium,1,no,2.99,2.73,2.39,2.75
office,71.9,normal,low,6,no,4.87,1.41,4.1,1.79
residential,32.5,holiday,high,2,no,8.59,2.58,8.57,3.79
office,74.9,normal,medium,8,no,1.91,3.97,2.2,3.47
office,14.5,normal,high,1,no,4.86,4.78,4.48,4.81
school,28.5,normal,medium,2,no,0.75,3.56,1.27,3.8
office,177.9,normal,medium,8,no,3.29,2.87,4.42,2.54
office,0.8,holiday,high,12,no,3.42,4.53,4.41,4.75
school,90.2,holiday,medium,6,no,2.55,3.28,3.31,3.11
residential,42.6,normal,medium,12,yes,5.29,3.67,4.41,3.74
market,23.7,normal,medium,10,no,8.85,3.93,8.9,3.84
residential,31.6,normal,high,2,no,5.02,3.34,5.37,3.67
market,21.8,normal,medium,2,no,7.58,3.16,7.53,2.93
market,144.4,normal,medium,11,no,8.47,4.05,7.67,4.09
residential,40.4,normal,low,7,no,4.57,1.16,3.88,1.43
residential,20.3,normal,high,5,no,6.53,3.16,6.86,3.1
residential,2.9,normal,low,5,yes,4.53,1.46,5.34,0.18
office,78.6,festival,medium,8,no,4.89,3.71,4.76,3.4
tourist_area,14.5,normal,medium,12,no,2.5,5.14,2.98,4.71
residential,5.1,holiday,medium,12,no,5.46,2.98,6.63,3.41
tourist_area,261.1,holiday,medium,7,no,6.64,4.83,6.53,4.67
market,88.0,normal,low,12,no,6.95,2.33,6.57,1.85
residential,58.8,holiday,medium,9,no,7.46,2.37,7.04,2.6
residential,30.6,normal,high,4,no,7.43,3.46,6.51,2.63
market,22.9,normal,high,10,no,11.12,3.88,11.73,3.4
office,50.7,normal,low,4,yes,2.89,3.46,2.47,2.84
